beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
monstrous	And now they knew why it was forbidden.They were looking straight into the eyes of a monstrous dog, a dog that filled the whole space between ceiling and floor.	"{'monstrous', 's. abnormally large', 'a. 巨大的, 畸形的, 怪异的\n[法] 巨大的, 异形的, 畸形的:荒诞的', ""'mɒnstrәs""}"
saliva	Three pairs of rolling, mad eyes; three noses, twitching and quivering in their direction; three drooling mouths, saliva hanging in slippery ropes from yellowish fangs.It was standing quite still, all six eyes staring at them, and Harry knew that the only reason they weren’t already dead was that their sudden appearance had taken it by surprise, but it was quickly getting over that, there was no mistaking what those thunderous growls meant.Harry groped for the doorknob — between Filch and death, he’d take Filch.They fell backward — Harry slammed the door shut, and they ran, they almost flew, back down the corridor.	"{'n. a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches', 'saliva', 'n. 唾液, 唾沫, 涎\n[医] 涎, 唾液', ""sә'laivә""}"
slippery	Three pairs of rolling, mad eyes; three noses, twitching and quivering in their direction; three drooling mouths, saliva hanging in slippery ropes from yellowish fangs.It was standing quite still, all six eyes staring at them, and Harry knew that the only reason they weren’t already dead was that their sudden appearance had taken it by surprise, but it was quickly getting over that, there was no mistaking what those thunderous growls meant.Harry groped for the doorknob — between Filch and death, he’d take Filch.They fell backward — Harry slammed the door shut, and they ran, they almost flew, back down the corridor.	"{'a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的\n[法] 狡猾的, 不可靠的, 不安定的', 'a. causing or tending to cause things to slip or slide\ns. not to be trusted', 'slippery', ""'slipәri""}"
mistaking	Three pairs of rolling, mad eyes; three noses, twitching and quivering in their direction; three drooling mouths, saliva hanging in slippery ropes from yellowish fangs.It was standing quite still, all six eyes staring at them, and Harry knew that the only reason they weren’t already dead was that their sudden appearance had taken it by surprise, but it was quickly getting over that, there was no mistaking what those thunderous growls meant.Harry groped for the doorknob — between Filch and death, he’d take Filch.They fell backward — Harry slammed the door shut, and they ran, they almost flew, back down the corridor.	{'misˈteikɪŋ', 'v. 弄错, 误解( mistake的现在分词 ); 认不出; 误会; 看错', 'mistaking', 'n putting the wrong interpretation on\nv identify incorrectly\nv to make a mistake or be incorrect'}
thunderous	Three pairs of rolling, mad eyes; three noses, twitching and quivering in their direction; three drooling mouths, saliva hanging in slippery ropes from yellowish fangs.It was standing quite still, all six eyes staring at them, and Harry knew that the only reason they weren’t already dead was that their sudden appearance had taken it by surprise, but it was quickly getting over that, there was no mistaking what those thunderous growls meant.Harry groped for the doorknob — between Filch and death, he’d take Filch.They fell backward — Harry slammed the door shut, and they ran, they almost flew, back down the corridor.	"{""'θʌndәrәs"", 'thunderous', 's. extremely ominous', 'a. 将要打雷的, 像打雷的'}"
backward	Three pairs of rolling, mad eyes; three noses, twitching and quivering in their direction; three drooling mouths, saliva hanging in slippery ropes from yellowish fangs.It was standing quite still, all six eyes staring at them, and Harry knew that the only reason they weren’t already dead was that their sudden appearance had taken it by surprise, but it was quickly getting over that, there was no mistaking what those thunderous growls meant.Harry groped for the doorknob — between Filch and death, he’d take Filch.They fell backward — Harry slammed the door shut, and they ran, they almost flew, back down the corridor.	"{""'bækwәd"", 'a. directed or facing toward the back or rear\na. (used of temperament or behavior) marked by a retiring nature\ns. retarded in intellectual development\ns. having made less than normal progress', 'backward', 'adv. 向后地, 相反地\na. 向后的, 相反的\n[计] 倒推'}"
guarding	It’s obviously guarding something.”She stood up, glaring at them.“I hope you’re pleased with yourselves.	"{'guarding', 'v to keep watch over\nv watch over or shield from danger or harm; protect\nv protect against a challenge or attack\nv take precautions in order to avoid some unwanted consequence', ""'^ɑ:diŋ"", '[计] 保险'}"
dragged	“You’d think we dragged her along, wouldn’t you.But Hermione had given Harry something else to think about as he climbed back into bed.	{'dragged', '', 'v pull, as against a resistance\nv draw slowly or heavily\nv force into some kind of situation, condition, or course of action\nv move slowly and as if with great effort\nv to lag or linger behind\nv suck in or take (air)\nv use a computer mouse to move icons on the screen and select commands from a menu\nv walk without lifting the feet\nv search (as the bottom of a body of water) for something valuable or lost\nv persuade to come away from something attractive or interesting\nv proceed for an extended period of time', 'v. 制动；拖动；打滑；松懈'}
cheerful	* * *On Sunday morning, Uncle Vernon sat down at the breakfast table looking tired and rather ill, but happy.“No post on Sundays,” he reminded them cheerfully as he spread marmalade on his newspapers, “no damn letters today —”Something came whizzing down the kitchen chimney as he spoke and caught him sharply on the back of the head.	"{'cheerful', 'a. 快活的, 高兴的, 兴高采烈的', ""'tʃiәful"", 'a. being full of or promoting cheer; having or showing good spirits\ns. pleasantly (even unrealistically) optimistic'}"
guessing	In the meantime, Harry filled Ron in about the package that seemed to have been moved from Gringotts to Hogwarts, and they spent a lot of time wondering what could possibly need such heavy protection.“It’s either really valuable or really dangerous,” said Ron.“Or both,” said Harry.But as all they knew for sure about the mysterious object was that it was about two inches long, they didn’t have much chance of guessing what it was without further clues.Neither Neville nor Hermione showed the slightest interest in what lay underneath the dog and the trapdoor.	"{'n an estimate based on little or no information\nv expect, believe, or suppose\nv put forward, of a guess, in spite of possible refutation\nv judge tentatively or form an estimate of (quantities or time)\nv guess correctly; solve by guessing', 'guessing', ""'ɡesɪŋ"", 'v. 猜( guess的现在分词 ); （引出令人惊奇或激动的事）你猜; 猜对; 猜中'}"
refusing	All Neville cared about was never going near the dog again.Hermione was now refusing to speak to Harry and Ron, but she was such a bossy knowitall that they saw this as an added bonus.	{'p. pr. & vb. n. of Refuse', 'riˈfju:zɪŋ', 'refusing', 'v. 拒绝, 回绝( refuse的现在分词 ); 推却, 回绝; 拒绝给（所需之物）'}
glee	One thing was certain, there was no television in there.“Storm forecast for tonight!” said Uncle Vernon gleefully, clapping his hands together.	{'n. 欢乐, 高兴', 'glee', 'gli:', 'n great merriment\nn malicious satisfaction'}
enviously	Oliver Wood will meet you tonight on the Quidditch field at seven o’clock for your first training session.Professor McGonagallHarry had difficulty hiding his glee as he handed the note to Ron to read.“A Nimbus Two Thousand!” Ron moaned enviously.	"{'enviously', ""'enviәsli"", 'r. with jealousy; in an envious manner', 'adv. 羡慕地'}"
barred	“I’ve never even touched one.”They left the hall quickly, wanting to unwrap the broomstick in private before their first class, but halfway across the entrance hall they found the way upstairs barred by Crabbe and Goyle.	{'a. 上了闩的, 划出线条的, 受阻的, 被禁止的\n[计] 遮断式的', 's. marked with stripes or bands', 'bɑ:d', 'barred'}
jealousy	Malfoy seized the package from Harry and felt it.“That’s a broomstick,” he said, throwing it back to Harry with a mixture of jealousy and spite on his face.	"{'n. 妒忌, 猜忌, 羡慕\n[法] 妒忌, 嫉妒, 猜忌', ""'dʒelәsi"", 'jealousy', 'n. a feeling of jealous envy (especially of a rival)\nn. zealous vigilance'}"
spite	Malfoy seized the package from Harry and felt it.“That’s a broomstick,” he said, throwing it back to Harry with a mixture of jealousy and spite on his face.	{'spite', 'spait', 'n. 恶意, 怨恨, 使人烦恼的事物\nvt. 故意刁难, 欺侮', 'n feeling a need to see others suffer\nn malevolence by virtue of being malicious or spiteful or nasty\nv hurt the feelings of'}
flashy	“Comets look flashy, but they’re not in the same league as the Nimbus.”“What would you know about it, Weasley, you couldn’t afford half the handle,” Malfoy snapped back.	"{'a. 闪光的, 一瞬间的, 浮华的', ""'flæʃi"", 'flashy', 's. (used especially of clothes) marked by conspicuous display'}"
nimbus	[]	"{'nimbus', ""'nimbәs"", 'n. 幻云, 雨云, 光轮', 'n. a dark grey cloud bearing rain'}"
twig	It was old and some of the twigs stuck out at odd angles.“Stick out your right hand over your broom,” called Madam Hooch at the front, “and say ‘Up!’”“UP” everyone shouted.Harry’s broom jumped into his hand at once, but it was one of the few that did.	{'twig', 'v. branch out in a twiglike manner', 'n. 小枝, 细枝\nv. 懂得, 了解'}
smothering	“And it’s really thanks to Malfoy here that I’ve got it,” he added.Harry and Ron headed upstairs, smothering their laughter at Malfoy’s obvious rage and confusion.“Well, it’s true,” Harry chortled as they reached the top of the marble staircase, “If he hadn’t stolen Neville’s Remembrall I wouldn’t be on the team.…”“So I suppose you think that’s a reward for breaking rules?” came an angry voice from just behind them.	{'', 'n. 窒息', 's. causing difficulty in breathing especially through lack of fresh air and presence of heat', 'smothering'}
disapprovingly	Hermione was stomping up the stairs, looking disapprovingly at the package in Harry’s hand.“I thought you weren’t speaking to us?” said Harry.“Yes, don’t stop now,” said Ron, “it’s doing us so much good.”Hermione marched away with her nose in the air.Harry had a lot of trouble keeping his mind on his lessons that day.	"{'adv. 不以为然地, 不赞成地, 非难地', 'r. showing disapproval', 'disapprovingly', "".disә'pru:viŋli""}"
dusk	Sleek and shiny, with a mahogany handle, it had a long tail of neat, straight twigs and Nimbus Two Thousand written in gold near the top.As seven o’clock drew nearer, Harry left the castle and set off in the dusk toward the Quidditch field.	{'dʌsk', 'dusk', 'n. 薄暮, 傍晚, 黄昏\na. 微暗的\nv. (使)微暗', 'v. become dusk'}
